432,433,433,433,433,433,433,433,433,433,433,433,433,433,433,433,433,433,433,433,433,433,433,433,433,433,433,433,433,435
540,767,708,496,657,816,654,761,710,709,764,655,814,766,550,443,760,545,659,708,494,494,496,656,814,816,601,438,709,489
540,820,763,657,492,545,709,819,496,654,604,652,818,600,761,495,496,712,600,438,654,551,494,436,760,496,600,492,547,489
540,763,493,821,495,814,441,821,494,814,601,439,764,600,440,442,600,711,658,814,493,493,440,600,709,495,548,443,816,489
540,713,657,767,442,660,715,660,767,765,816,547,814,604,819,544,655,441,490,602,819,605,545,707,760,493,815,820,653,489
540,493,814,598,655,821,550,603,766,436,441,438,655,495,439,818,604,819,548,706,659,658,815,818,437,821,547,652,653,489
540,436,713,495,544,716,661,714,549,815,709,762,761,763,712,437,492,605,494,760,707,760,767,712,655,546,599,437,443,489
540,709,710,443,442,663,603,715,550,767,438,654,547,604,604,490,440,760,712,604,550,551,496,711,765,441,599,767,604,489
540,761,602,815,443,714,547,657,653,546,545,442,497,767,711,713,494,600,497,820,818,494,707,602,767,496,497,652,819,489
540,654,710,494,544,494,659,544,604,493,549,438,439,764,710,440,600,599,821,441,544,605,441,761,546,493,652,495,655,489
540,706,440,653,601,437,763,441,605,707,442,490,767,712,711,709,441,764,544,819,764,765,493,763,549,706,551,603,653,489
540,494,598,545,603,544,658,818,763,821,603,656,707,495,767,546,761,439,599,712,706,819,653,598,767,710,763,443,711,489
540,443,493,598,764,653,657,604,706,551,816,492,550,436,598,818,604,548,814,706,437,497,712,550,436,711,496,816,599,489
540,603,497,602,658,546,707,496,766,818,494,598,711,436,438,439,708,654,763,657,653,603,494,604,821,814,605,712,605,489
540,605,492,712,493,712,443,492,814,443,817,441,815,492,707,713,711,764,547,491,549,761,602,654,492,491,598,653,497,489
540,706,437,764,497,602,548,604,602,495,707,495,497,767,711,598,494,658,494,494,820,711,546,493,598,603,707,763,814,489
540,655,545,766,655,550,710,603,547,497,762,653,436,659,820,763,598,707,656,493,438,816,767,816,762,604,440,767,713,489
540,437,712,819,815,656,605,658,599,760,442,821,439,762,710,819,439,494,438,766,766,490,764,816,601,547,547,765,492,489
540,708,605,656,437,818,820,654,442,605,760,654,492,654,766,765,440,439,544,762,767,654,712,436,708,601,657,762,491,489
594,596,596,596,596,596,596,596,596,596,596,596,596,596,596,596,596,596,596,596,596,596,596,596,596,596,596,596,596,597
